eval_video_label,prompt_class_name,prompt_class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin
Abuse,Normal,0,0,a normal street scene with pedestrians walking calmly,55.0323275862069,6.119970944300304,0.06521769613027573,0.07267879694700241,-0.007461100816726685
Abuse,Normal,0,1,people standing and talking without aggressive movement,49.74497126436781,5.5603587834661194,0.08066372573375702,0.1419094353914261,-0.06124570965766907
Abuse,Normal,0,2,vehicles moving through traffic in an ordinary way,48.832614942528735,5.439181984440271,0.023356985300779343,0.035102713853120804,-0.011745728552341461
Abuse,Normal,0,3,shoppers browsing shelves and carrying bags normally,52.44971264367816,5.948037772787005,0.03791341185569763,0.08428274840116501,-0.04636933654546738
Abuse,Normal,0,4,workers calmly performing tasks around counters and equipment,29.260057471264368,4.054273475239535,0.04293766990303993,0.06373126804828644,-0.020793598145246506
Abuse,Normal,0,5,pedestrians crossing a walkway with regular spacing,47.28807471264368,5.419958740157368,0.09019100666046143,0.10075323283672333,-0.010562226176261902
Abuse,Normal,0,6,people entering and exiting buildings in a routine manner,34.055316091954026,4.2724825269279965,0.05965667963027954,0.0803602784872055,-0.020703598856925964
Abuse,Normal,0,7,a public area with ordinary walking and waiting,36.0955459770115,4.482009147247638,0.052824608981609344,0.07358355820178986,-0.02075894922018051
Abuse,Normal,0,8,people interacting casually without panic or force,51.64152298850575,5.942644096095254,0.1712116003036499,0.269199401140213,-0.09798780083656311
Abuse,Normal,0,9,an orderly scene with predictable everyday human activity,38.5919540229885,4.5705197983831765,0.036048468202352524,0.05417311191558838,-0.018124643713235855
Abuse,Abuse,1,0,a surveillance frame of an aggressor striking a vulnerable victim,53.26508620689655,6.347719706100044,0.7398484349250793,0.6796829104423523,0.06016552448272705
Abuse,Abuse,1,1,a person forcefully pushing a helpless victim against furniture,49.515086206896555,5.78471290083931,0.7874088287353516,0.7486891746520996,0.03871965408325195
Abuse,Abuse,1,2,a violent person grabbing and controlling a weaker victim,50.150862068965516,5.741931303809639,0.6475362777709961,0.6123116612434387,0.03522461652755737
Abuse,Abuse,1,3,a victim shielding their body during repeated physical mistreatment,61.55890804597701,8.667637990416516,0.23790927231311798,0.20532850921154022,0.03258076310157776
Abuse,Abuse,1,4,an attacker cornering someone and delivering forceful hits,50.59985632183908,6.070575450602705,0.5407443046569824,0.5352829694747925,0.005461335182189941
Abuse,Abuse,1,5,a person dragging a resisting victim across the floor,55.8117816091954,6.7090148155149105,0.6091632843017578,0.5391072034835815,0.07005608081817627
Abuse,Abuse,1,6,a vulnerable person recoiling from sustained aggressive body contact,50.13290229885057,5.989820576585804,0.5754234790802002,0.5406806468963623,0.03474283218383789
Abuse,Abuse,1,7,a stronger aggressor overpowering a weaker person indoors,49.75933908045977,5.756690698620953,0.8901304006576538,0.832733690738678,0.05739670991897583
Abuse,Abuse,1,8,a victim collapsing after repeated blows from another person,51.918103448275865,6.3581248508578145,0.5952028036117554,0.5549270510673523,0.040275752544403076
Abuse,Abuse,1,9,a hostile person restraining and hurting a defenseless target,51.285919540229884,6.256221532137228,0.5623515844345093,0.550152599811554,0.012198984622955322
Abuse,Arrest,2,0,a surveillance frame of police restraining a suspect,55.73994252873563,6.151354580499861,0.08169905841350555,0.10556556284427643,-0.023866504430770874
Abuse,Arrest,2,1,officers handcuffing a detained person with controlled posture,52.60057471264368,6.254114892579099,0.20090191066265106,0.20231707394123077,-0.001415163278579712
Abuse,Arrest,2,2,police surrounding a suspect and directing surrender,42.521551724137936,4.977455207093505,0.016478564590215683,0.02604440413415432,-0.009565839543938637
Abuse,Arrest,2,3,uniformed officers escorting a suspect toward a patrol car,57.751436781609186,6.516095715994985,0.09664247184991837,0.1239442527294159,-0.027301780879497528
Abuse,Arrest,2,4,law enforcement pinning a resisting person during detention,42.672413793103445,4.867692500017988,0.13418002426624298,0.17509399354457855,-0.04091396927833557
Abuse,Arrest,2,5,officers searching a suspect after applying physical restraint,53.6889367816092,6.165682820796219,0.07020362466573715,0.09325139224529266,-0.02304776757955551
Abuse,Arrest,2,6,a patrol team blocking a suspect from escaping,52.49281609195402,5.815694111417232,0.060596249997615814,0.0849078968167305,-0.024311646819114685
Abuse,Arrest,2,7,police pulling a suspect's arms behind their back,58.73204022988505,6.619036697575273,0.0670381709933281,0.0852554440498352,-0.01821727305650711
Abuse,Arrest,2,8,a detained person being guided beside police officers,58.45186781609195,6.557056857379854,0.010427737608551979,0.013763965107500553,-0.003336227498948574
Abuse,Arrest,2,9,officers immobilizing a suspect using coordinated restraint,52.29525862068966,6.2009243535366885,0.3429359793663025,0.336775541305542,0.006160438060760498
Abuse,Arson,3,0,a person igniting flammable material near property,55.68247126436782,6.918596553408654,0.2748721241950989,0.2635164260864258,0.011355698108673096
Abuse,Arson,3,1,a suspicious person pouring liquid before visible flames appear,57.571839080459775,7.363046638981591,0.27521491050720215,0.2599521279335022,0.015262782573699951
Abuse,Arson,3,2,a small fire spreading across a vehicle or building surface,46.22126436781609,5.238966408388604,0.6638635396957397,0.6377230882644653,0.026140451431274414
Abuse,Arson,3,3,bright flames emerging after someone approaches a combustible target,48.31537356321839,5.572196213367832,0.6262128949165344,0.6201067566871643,0.006106138229370117
Abuse,Arson,3,4,a person fleeing as a deliberately started fire grows,47.66882183908046,5.77930178106795,0.5026617646217346,0.5124876499176025,-0.00982588529586792
Abuse,Arson,3,5,smoke and flames rising from unattended damaged property,45.76149425287356,5.178847821366286,0.21280327439308167,0.28185513615608215,-0.06905186176300049
Abuse,Arson,3,6,a surveillance frame showing deliberate ignition near a structure,55.02155172413793,6.122017508772164,0.12257543951272964,0.15208415687084198,-0.029508717358112335
Abuse,Arson,3,7,"fire spreading around an entrance, window, or vehicle",46.46192528735632,5.226007261337394,0.7706466913223267,0.7235570549964905,0.04708963632583618
Abuse,Arson,3,8,a person handling a lighter before a sudden flame outbreak,46.099137931034484,5.5537520700738074,0.3881376385688782,0.3849645256996155,0.0031731128692626953
Abuse,Arson,3,9,a property surface burning after a suspicious human action,45.73994252873563,5.192328745589228,0.46780282258987427,0.47910746932029724,-0.011304646730422974
Abuse,Assault,4,0,a person punching another person in a close confrontation,50.45617816091954,5.612299769196609,0.5921176671981812,0.5595011115074158,0.03261655569076538
Abuse,Assault,4,1,an attacker lunging toward a victim with a forceful strike,51.23204022988506,6.231755849780008,0.5668541193008423,0.5739038586616516,-0.007049739360809326
Abuse,Assault,4,2,two people colliding violently during a street confrontation,60.73275862068965,9.295970006105767,0.6816574931144714,0.6028567552566528,0.0788007378578186
Abuse,Assault,4,3,an aggressor kicking a fallen victim on the ground,52.776580459770116,6.59598647148501,0.5553407669067383,0.5230992436408997,0.03224152326583862
Abuse,Assault,4,4,a victim stumbling backward after a direct body hit,52.66522988505747,6.519251240568363,0.5525543689727783,0.4859917163848877,0.06656265258789062
Abuse,Assault,4,5,an attacker swinging arms repeatedly at another person,47.90229885057472,5.391711148375311,0.28730034828186035,0.31816744804382324,-0.03086709976196289
Abuse,Assault,4,6,a person shoving an opponent hard enough to lose balance,51.8426724137931,6.3019169057275946,0.5729325413703918,0.5650132894515991,0.007919251918792725
Abuse,Assault,4,7,"a close range attack with punches, kicks, and defense",51.803160919540225,6.3236650201312,0.5574712753295898,0.541481614112854,0.01598966121673584
Abuse,Assault,4,8,an aggressor pursuing a target while continuing to strike,51.020114942528735,6.189582726530352,0.5132110118865967,0.49737659096717834,0.015834420919418335
Abuse,Assault,4,9,a victim shielding their face during a rapid attack,50.70043103448276,6.067044140402144,0.42417946457862854,0.430612176656723,-0.006432712078094482
Abuse,Burglary,5,0,a surveillance frame of an intruder forcing a doorway,56.364942528735625,6.975311960188884,0.9143837094306946,0.8778396844863892,0.03654402494430542
Abuse,Burglary,5,1,a person prying a lock to enter a restricted room,60.01795977011493,10.382024748054834,0.9027503728866577,0.8868316411972046,0.015918731689453125
