class_index,class_name,prompt_index,prompt_text,own_anchor_similarity,best_other_anchor_class,best_other_anchor_similarity,anchor_margin,nearest_anchor_class,nearest_anchor_is_own
0,Normal,2,vehicles moving steadily through regular traffic,0.10375995934009552,RoadAccidents,0.6423755288124084,-0.5386155843734741,RoadAccidents,False
0,Normal,3,customers standing calmly near store counters,0.03286730498075485,Shoplifting,0.5062278509140015,-0.473360538482666,Shoplifting,False
0,Normal,0,pedestrians walking calmly along an ordinary street,0.1571684628725052,RoadAccidents,0.617699921131134,-0.46053147315979004,RoadAccidents,False
0,Normal,1,people waiting and talking in a public area,0.26340270042419434,Shoplifting,0.6477024555206299,-0.38429975509643555,Shoplifting,False
10,Shooting,0,an armed person aiming and firing a firearm,0.11471207439899445,Normal,0.48286110162734985,-0.3681490421295166,Normal,False
10,Shooting,4,an armed shooter discharging a weapon toward people,0.1984747052192688,Robbery,0.531447172164917,-0.3329724669456482,Robbery,False
10,Shooting,3,a person firing a handgun in surveillance footage,0.27728843688964844,Shoplifting,0.5899099111557007,-0.31262147426605225,Shoplifting,False
10,Shooting,1,a visible muzzle flash from a discharged gun,0.19942788779735565,Robbery,0.49342912435531616,-0.2940012216567993,Robbery,False
0,Normal,4,people entering and exiting buildings at normal pace,0.3497177064418793,Shoplifting,0.6147438287734985,-0.26502612233161926,Shoplifting,False
7,Fighting,0,two groups mutually exchanging punches in a brawl,0.2468322217464447,Normal,0.5042197108268738,-0.2573874890804291,Normal,False
4,Assault,2,an aggressor kicking a fallen victim on pavement,0.2808631360530853,Robbery,0.5373497605323792,-0.2564866244792938,Robbery,False
4,Assault,4,an attacker chasing one target while striking repeatedly,0.3482535183429718,Shoplifting,0.5889190435409546,-0.2406655251979828,Shoplifting,False
7,Fighting,2,opponents separating and reengaging in group fighting,0.2594454288482666,Normal,0.49427172541618347,-0.23482629656791687,Normal,False
3,Arson,4,a person retreating as planted fire starts spreading,0.2654443681240082,Robbery,0.4981616735458374,-0.23271730542182922,Robbery,False
1,Abuse,4,an aggressor dragging or overpowering a vulnerable person,0.371014803647995,Robbery,0.6014950275421143,-0.23048022389411926,Robbery,False
1,Abuse,0,a vulnerable victim enduring repeated close range mistreatment,0.48178237676620483,Shoplifting,0.7094905376434326,-0.22770816087722778,Shoplifting,False
7,Fighting,4,two sides clashing back and forth in public,0.3697131872177124,Robbery,0.5953568816184998,-0.22564369440078735,Robbery,False
13,Vandalism,2,a person breaking glass with repeated tool impacts,0.30170971155166626,Normal,0.5260855555534363,-0.22437584400177002,Normal,False
1,Abuse,2,a helpless person recoiling from sustained physical abuse,0.3284485340118408,Shoplifting,0.5525992512702942,-0.22415071725845337,Shoplifting,False
1,Abuse,1,a stronger aggressor controlling a weaker victim indoors,0.4173803925514221,Shoplifting,0.6385527849197388,-0.22117239236831665,Shoplifting,False
4,Assault,0,a single attacker lunging with a direct strike,0.3443080186843872,Shoplifting,0.5623481273651123,-0.2180401086807251,Shoplifting,False
3,Arson,3,small flames expanding after deliberate human ignition,0.3885640799999237,Robbery,0.6054646968841553,-0.21690061688423157,Robbery,False
6,Explosion,3,a concentrated blast throwing debris radially outward,0.33228349685668945,Robbery,0.5448894500732422,-0.21260595321655273,Robbery,False
6,Explosion,0,an instant detonation expanding from a blast center,0.29642850160598755,Normal,0.5086702108383179,-0.21224170923233032,Normal,False
